odor,cid
(+)-alpha-pinene,82227
(+)-beta-pinene,10290825
(+)-carvone,16724
(+)-ethyl lactate,
(+)-fenchone,1201521
(+)-linalool,67179
(+)-menthone,443159
(+)-terpinen-4-ol,2724161
(-)-Fenchone,
(-)-Menthone,26447
(-)-a-thujone,261491
(-)-alpha-pinene,440968
(-)-beta-pinene,440967
(-)-carvone,439570
(-)-caryophyllene oxide,1742210
(-)-ethyl lactate,92831
(-)-linalool,443158
"(-)-trans-p-Menthane-3,8 diol",
(E)-1-(1-azepanyl)-2-methyl-2-penten-1-one,
(E)-2-Hexenyl acetate,2733294
(E)-2-hexenal,5281168
"(E)-2-methyl-N,N-di-2-propenyl-2-pentenamide",
(E)-3-Hexen-1-ol,5284503
(E)-3-Methyl-2-hexanoic acid,
"(E)-N,N-di-(2-methylpropyl)-2-hexenamide",
(E)-N-butyl-N-ethyl-2-methyl-2-pentenamide 2 2 1 0.117,
(E)-N-cyclohexyl-N-ethyl-2-hexenamide,
(E)-N-ethyl-2-methyl-N-(2-methyl-2-propenyl)-2-pentenamide,
(E)-N-n-butyl-N-ethyl-2-hexenamide,
(E)-beta-Ocimene,5281553
(E/Z)-3-Methyl-2-hexanoic acid,
(R)-(+)-1-decyn-3-ol,
"(R)-1,(z)-5-octadien-3-ol",
(S)-(-)-1-decyn-3-ol,
(Z)-3-Hexen-1-ol,5281167
(Z)-3-Hexenyl acetate,5363388
(Z)-3-Methyl-2-hexanoic acid,
"1,4-Cineole",10106
"1,5-octadien-3-ol",6428570
